Open,Wind
Panel,Sully
Btn,Hop
OpenPanelBtn,WindSullyHop
Fly,Oil
Start,Skill
FlyStart,OilSkill
End,Way
FlyEnd,OilWay
Images,Accept
FlyImages,OilAccept
Money,Scant
Text,Plot
MoneyText,ScantPlot
Cash,Tire
CashText,TirePlot
Left,Fame
Time,Sign
LeftTimeText,FameSignPlot
Max,Rub
Fill,Shut
MaxMoneyFill,RubScantShut
Anim,Lady
MoneyTextAnim,ScantPlotLady
CashTextAnim,TirePlotLady
MaxMoneyFillAnim,RubScantShutLady
Login,Empty
Platform,Forecast
LoginPlatform,EmptyForecast
_LoginPlatform,_EmptyForecast
App,Bed
Info,Pain
AppInfo,BedPain
Withdraw,Daughter
WithdrawPlatform,DaughterForecast
Base,Hare
Url,Era
BaseUrl,HareEra
Account,Faculty
Data,Song
LeftTime,FameSign
Out,Sit
CashOutPanel,TireSitSully
_CashOutPanel,_TireSitSully
Enter,Speed
CashOutEnter,TireSitSpeed
_CashOutEnter,_TireSitSpeed
Ready,Grope
Min,Cab
Count,Knife
MinWithdrawCount,CabDaughterKnife
Event,Worst
Event_1304Time,Worst_1304Sign
Client,Dating
ClientIP,DatingIP
Real,Will
RealIP,WillIP
StartTime,SkillSign
User,Bush
UserID,BushID
Convert,Nuclear
ConvertTime,NuclearSign
Record,Mosaic
Task,Open
TaskData,OpenSong
code,Wear
msg,Gut
platform,Endanger
bundle,Emblem
id,An
bundle_id,Emblem_An
uuid,Beef
device,Soothe
ad,No
device_ad_id,Soothe_No_An
lang,Beat
device_lang,Soothe_Beat
model,Flute
manufacturer,Considerable
screen,Thirty
size,Neck
screen_size,Thirty_Neck
pixel,Urban
screen_pixel,Thirty_Urban
data,Rent
nick,Tiny
name,Bell
nick_name,Tiny_Bell
avatar,Quasar
crt,Maw
time,Dung
crt_time,Maw_Dung
coin,Tide
cash,Dike
channel,Surpass
convert,Collide
convert_time,Collide_Dung
token,Krill
is,If
regist,Massif
is_regist,If_regIft
receiver,Wingspan
type,Bath
receiver_type,Wingspan_Bath
value,Reign
receiver_value,Wingspan_Reign
min,Big
amount,People
min_amount,Big_People
day,Oil
count,South
day_count,day_South
max,Yew
day_max_amount,Oil_Yew_People
status,Wither
timestamp,Piecework
signature,Glycoside
network,Toehold
zone,Rain
time_zone,Dung_Rain
events,Flashy
string,Sneeze
string_0,Sneeze_0
string_1,Sneeze_1
big,Aim
int,Gun
big_int_0,Aim_Gun_0
Close,Argon
CloseBtn,ArgonHop
Update,Normal
UpdateUI,NormalUI
Loading,Pacific
UpdateUI_Loading,NormalUI_Pacific
CashOutBtn,TireSitHop
CashOutBtn_Loading,TireSitHop_Pacific
CashOutBtn_Task,TireSitHop_Open
CashOutBtn_Task_Text,TireSitHop_Open_Plot
AccountText,FacultyPlot
IDText,IDPlot
MaxMoneyText,RubScantPlot
Des,Ppm
DesText,PpmPlot
InfoPanel,PainSully
InfoText,PainPlot
OpenBtn,WindHop
InfoPanel_OpenBtn,PainSully_WindHop
InfoPanel_CloseBtn,PainSully_ArgonHop
Contact,Exclaim
ContactBtn,ExclaimHop
Name,Poet
MoneyName,ScantPoet
RecordPanel,MosaicSully
RecordPanel_OpenBtn,MosaicSully_WindHop
RecordPanel_CloseBtn,MosaicSully_ArgonHop
RecordPanel_Loading,MosaicSully_Pacific
Scroll,Canada
Rect,Ware
RecordScrollRect,MosaicCanadaWare
Items,Third
RecordItems,MosaicThird
Page,Male
PageText,MalePlot
Up,ID
PageUpBtn,MaleIDHop
Down,Vote
PageDownBtn,MaleVoteHop
No,To
Tip,Bed
NoRecordTip,ToMosaicTip
State,Mouth
Sprites,Visible
StateSprites,MouthVisible
Colors,Radium
StateTextColors,MouthPlotRadium
PageCount,MaleKnife
AccountPanel,FacultySully
AccountPanel_OpenBtn,FacultySully_WindHop
AccountPanel_CloseBtn,FacultySully_ArgonHop
Input,Tower
AccountInput,FacultyTower
Confirm,Linkage
ConfirmAccountInput,LinkageFacultyTower
Error,Lomas
AccountErrorText,FacultyLomasPlot
ConfirmBtn,LinkageHop
ConfirmAccountPanel,LinkageFacultySully
ConfirmAccountPanel_CloseBtn,LinkageFacultySully_ArgonHop
Policy,Opaque
PolicyBtn,OpaqueHop
Toggle,Clever
PolicyToggle,OpaqueClever
Sbmit,Flood
SbmitBtn,FloodHop
SbmitBtn_Loading,FloodHop_Pacific
Confirm_AccountText,Linkage_FacultyPlot
Edit,Like
EditBtn,LikeHop
Guide,Quiet
GuidePanel,QuietSully
Title,Vowel
GuideTitleText,QuietVowelPlot
GuideText,QuietPlot
GuideItems,QuietThird
GuideItems1,QuietThird1
GuideItems2,QuietThird2
Step,Lime
GuideStep,QuietLime
Go,ID
GuideStep2Go,QuietLime2Go
Points,Unsure
GuideStepPoints,QuietLimeUnsure
Next,Hail
GuideNextBtn,QuietHailHop
Need,Heed
Delete,Regain
NeedDelete,HeedRegain
Test,Span
isTest,IfSpan
Keys,Doom
dir,Lop
color,Hurry
color1,Hurry1
color2,Hurry2
range,Nerve
Flip,Tube
CHANNEL,CHANNEL
ID,ID
CHANNEL_ID,CHANNEL_ID
url,Ant
Scheme,Person
urlScheme,AntPerson
Long,Bony
isLong,IfBony
pool,Road
Dic,See
poolDic,RoadSee
hold,Cyan
holdTime,CyanSign
Holding,Masonry
isHolding,IfMasonry
_isHolding,_IfMasonry
timer,Churn
_timer,_Churn
thickness,Crocodile
_thickness,_Crocodile
use,Fun
Gradient,Amniotic
useGradient,FunAmniotic
_useGradient,_FunAmniotic
gradient,Diameter
Direction,Municipal
gradientDirection,DiameterMunicipal
vertex,Jumble
List,Lane
vertexList,JumbleLane
_vertexList,_JumbleLane
dust,Anew
dust1,Anew1
dust2,Anew2
can,Ere
Erase,Tread
canErase,EreTread
erase,Crane
Finish,Street
eraseFinishEvent,CraneStreetWorst
brush,Title
Radius,Unused
brushRadius,TitleUnused
finish,Locust
Percent,Eyebrow
finishPercent,LocustEyebrow
draw,Wild
Offset,Create
drawOffset,WildCreate
isFinish,IfStreet
Continue,Backward
isContinue,IfBackward
Image,Gully
eraseImage,CraneGully
Texture,Flicker
eraseTexture,CraneFlicker
texture,Imitate
Width,Spiky
textureWidth,ImitateSpiky
Height,Devour
textureHeight,ImitateDevour
Length,Adjust
textureLength,ImitateAdjust
eraseLength,CraneAdjust
original,Elongate
originalTexture,ElongateFlicker
Enabled,Descent
originalImageEnabled,ElongateGullyDescent
rect,Loan
Transform,Geography
rectTransform,LoanGeography
parent,Sprawl
Canvas,Strict
parentCanvas,SprawlStrict
last,Scan
Position,Bedcover
lastErasePosition,ScanTreadBedcover
Erasing,Approve
isErasing,IfApprove
Mouse,Weary
Over,Cave
isMouseOverImage,IfWearyCaveGully
local,Dizzy
Point,Pride
localPoint,DizzyPride
Pos,Hat
pixelPos,UrbanHat
temp,Clam
tempPercent,ClamEyebrow
indexes,Current
movefx,Impact
Win,Gun
movefx_Win,Impact_Win
Boost,Ample
movefx_Boost,Impact_Ample
normal,Ascend
Font,Cord
normalFont,AscendCord
boost,Swing
boostFont,SwingCord
win,Law
winFont,LawCord
number,Seldom
star,Dram
Ball,Upon
winBall,LawUpon
gold,Note
Pig,Ear
goldPigBtn,NoteEarHop
Txt,Sow
goldPigCDTxt,NoteEarCDSow
wheel,Pedal
black,Birch
Mask,View
blackMask,BirchView
show,Busy
Curve,Which
showCurve,BusyWhich
rotition,Seashore
rotitionCurve,SeashoreWhich
idle,Also
Particle,Milkweed
idleParticle,AlsoMilkweed
winParticle,LawMilkweed
prize,Daily
diamond,Topsoil
Num,Fix
diamondNum,TopsoilFix
lucky,Tempt
Wheel,Elder
Bar,Eel
luckyWheelBar,TemptElderEel
Lucky,Scope
Energy,Alpine
maxLuckyWheelEnergy,YewScopeElderAlpine
trail,Flake
particle,Disprove
slot,Coat
Prefab,Devise
slotPrefab,CoatDevise
Distance,Composer
slotDistance,CoatComposer
Bottom,Gamble
slotBottom,CoatGamble
axis,Wool
Index,Venue
axisIndex,WoolVenue
slots,Sonic
slotsCount,SonicKnife
Board,Quite
slotsBoard,SonicQuite
slotsBoardIndex,SonicQuiteVenue
Queue,Jules
slotsQueue,SonicJules
stack,Briny
Spinning,Egyptian
isSpinning,IfEgyptian
new,Way
Slot,Bare
newSlot,newBare
start,Trust
startPos,TrustHat
move,Akin
moveY,AkinY
need,Mime
Fast,Load
needFast,MimeLoad
anim,Shun
animName,ShunPoet
idleName,AlsoPoet
guideline,Narration
image,Oasis
magic,Dimly
Bug,Low
magicBugPos,DimlyLowHat
Types,Slate
slotTypes,CoatSlate
axisPrefab,WoolDevise
mask,Buzz
curve,Penal
fast,Tame
Box,Fee
fastBox,TameFee
fastBox2,TameFee2
fastBox3,TameFee3
fastBox4,TameFee4
Reward,Redbud
fastReward,TameRedbud
delta,Swear
deltaTime,SwearSign
Speed,Purge
moveSpeed,AkinPurge
Slots,Large
fastSlotsCount,TameLargeKnife
line,Harm
Arr,Bud
axisArr,WoolBud
end,Wit
Axis,Next
endAxisCount,WitNextKnife
Show,Cane
guidelineShowTime,NarrationCaneSign
Line,Help
isShowGuideLine,IfCaneQuietHelp
spin,Will
spinCountCDTimeTxt,spinKnifeCDSignSow
spinCountTxt,WillKnifeSow
add,Lap
Spin,Wind
addSpinBtn,LapSpinHop
maxSpinCount,YewWindKnife
spinCountCDTime,WillKnifeCDSign
Timer,Timid
Running,Booklet
isTimerRunning,IfTimidBooklet
Bound,Oxide
isTextBound,IfPlotOxide
wild,Holm
Add,Ion
Weight,Import
wildAddWeight,HolmIonImport
Wigth,Sheet
Dict,Rice
slotWigthDict,CoatSheetRice
winData,LawSong
reward,Rancho
rewardDict,RanchoRice
special,Nucleic
Rewards,Flatter
specialRewardsItems,NucleicFlatterThird
Type,Leap
specialTypeDict,NucleicLeapRice
Five,Heat
Numbers,Inhabit
FiveFSBoardNumbers,HeatFSQuiteInhabit
five,Stud
fiveFSWigthDict,StudFSSheetRice
jackpot,Endless
jackpotData,EndlessSong
compare,Expanse
Size,Sail
compareSizeData,ExpanseSailSong
open,Atom
openBoxData,AtomFeeSong
match,Bunch
match3Data,Bunch3Song
scratch,Dioxide
scratchData,DioxideSong
luckyWheelData,TemptElderSong
goldPigData,NoteEarSong
Machine,Intrude
Mode,Wand
eMachineMode,eIntrudeWand
Obj,Boy
diamondObj,TopsoilBoy
slotTypesDic,CoatSlateSee
no,My
Grand,Since
Prize,Opera
noGrandPrizeCount,MySinceOperaKnife
fiveFSSpinCount,StudFSWindKnife
Wight,Index
Nomarl,Endure
wildWightNomarl,HolmIndexEndure
Free,Hair
wildWightFreeSpin,HolmIndexHairWind
winRewards,LawFlatter
ready,Syrup
Boards,Volume
slotsBoards,SonicVolume
isEndWheel,IfWayElder
settlement,Convection
States,Latest
settlementStates,ConvectionLatest
key,Wad
total,Flute
Seconds,Arabian
totalSeconds,totalArabian
remaining,Collector
remainingSeconds,CollectorArabian
Loop,Rest
isLoop,IfRest
callback,Wasteful
display,Spidery
displayText,SpideryPlot
coroutine,Meteorite
active,Recent
Timers,Server
activeTimers,RecentServer
stopped,Dismiss
stoppedTimers,DismissServer
PLAYER,PLAYER
PREFS,PREFS
PREFIX,PREFIX
PLAYER_PREFS_PREFIX,PLAYER_PREFS_PREFIX
watch,Harsh
Ad,So
watchAdBtn,HarshSoHop
give,Akin
giveUpBtn,giveIDHop
Quit,Barb
QuitBtn,BarbHop
my,To
Number,Primal
Btns,Yean
myNumberBtns,myPrimalYean
used,Meat
usedIndex,MeatVenue
winTime,LawSign
unwinning,Expansion
Pool,Half
unwinningPrizePool,ExpansionOperaHalf
cleopatra,Curvature
fangkuai,Corridor
Card,Odor
Sur,Aim
fangkuaiCardSur,CorridorOdorSur
hongtao,Revival
hongtaoCardSur,RevivalOdorAim
meihua,Cannot
meihuaCardSur,CannotOdorAim
heitao,Choppy
heitaoCardSur,ChoppyOdorAim
JCardSur,JOdorAim
Sym,Rub
fangkuaiSym,CorridorSym
hongtaoSym,RevivalRub
meihuaSym,CannotRub
heitaoSym,ChoppyRub
card,Toss
Surfaces,Elongate
cardSurfaces,TossSurfaces
compareCardPos,ExpanseOdorHat
caidai,Mildly
pwin,Jade
cardPos,TossHat
Chances,Iceberg
ChancesBtn,IcebergHop
add8ChancesBtn,Lap8IcebergHop
startBtn,TrustHop
free,Boss
Times,Untie
freeSpinTimesText,BossWindUntiePlot
freeSpinTimes,BossWindUntie
spinBtn,WillHop
stop,Toll
stopBtn,TollHop
collectibles,Conscription
collectiblesBtn,ConscriptionHop
settings,Carnival
settingsBtn,CarnivalHop
result,Burden
resultTxt,BurdenSow
Trans,Tidal
jackpotTrans,EndlessTidal
grand,Laugh
Jackpot,Restful
grandJackpot,LaughRestful
major,Verse
majorJackpot,VerseRestful
minor,Cajun
minorJackpot,CajunRestful
mini,Fund
miniJackpot,FundRestful
cashOutEnter,DikeSitSpeed
diamondBox,TopsoilFee
diamonds,Merchant
diamondsTxt,MerchantSow
freespin,Basketry
freespinBG,BasketryBG
cleopatraAnim,CurvatureLady
statue,Plover
statueAnim,PloverLady
fiveFSBoard,StudFSQuite
luckyWheel,TemptElder
magicBugEndCount,DimlyLowWayKnife
Settlement,Friendship
Fx,Up
fiveFSSettlementFxPrefab,StudFSFriendshipUpDevise
fiveFSSettlementMaskBtn,StudFSFriendshipViewHop
fiveFSSettlementTxt,StudFSFriendshipSow
fiveFSSettlement,StudFSFriendship
settlementParticle,ConvectionMilkweed
freeSpin,BossWind
Normal,Mexico
NormalParticle,MexicoMilkweed
freeSpin2NormalParticle,BossWind2MexicoMilkweed
shen,Rape
shenEnd,RapeWay
zheng,Forge
zhengEnd,ForgeWay
Move,Fast
grandJackpotMoveTime,LaughRestfulFastSign
Auto,Year
isAutoSpinning,IfYearEgyptian
round,Troop
roundEnd,TroopWay
btn,Sea
Group,Algae
btnGroup,SeaAlgae
btnGroup1,SeaAlgae1
btnGroup2,SeaAlgae2
btnGroup3,SeaAlgae3
rewardText,RanchoPlot
rewardBox,RanchoFee
animStart,ShunSkill
btn1_1,Sea1_1
btn1_2,Sea1_2
btn2_1,Sea2_1
btn2_2,Sea2_2
btn3_1,Sea3_1
btn3_2,Sea3_2
FX,FX
bg,Go
FX_bg,FX_Go
General,Destine
Ani,Don
GeneralRewardAni,DestineRedbudDon
ShowAniList,CaneDonLane
rewardNumber,RanchoPrimal
opened,Bottle
From,Bard
openedFrom,BottleBard
rewardBtn,RanchoHop
close,Whole
closeBtn,WholeHop
diamondsText,MerchantPlot
title,Metal
rewardTxt,RanchoSow
light,Forty
Img,Yew
lightImg,FortyImg
symble,Repeat
claim,Steer
claimBtn,SteerHop
claim10Percent,Steer10Eyebrow
Symble,Arcade
grandSymble,LaughArcade
majorSymble,VerseArcade
minorSymble,CajunArcade
miniSymble,FundArcade
Spr,Far
grandSpr,LaughFar
majorSpr,VerseFar
minorSpr,CajunFar
miniSpr,FundFar
Light,Climb
grandLightSpr,LaughClimbFar
majorLightSpr,VerseClimbFar
minorLightSpr,CajunClimbFar
miniLightSpr,FundClimbFar
RewardBox,RedbudFee
jackpotType,EndlessLeap
Postitle,Obedient
startPostitle,TrustObedient
startPosRewardBox,TrustHatRedbudFee
slider,Induct
sliderImage,InductGully
progress,Frenetic
progressText,FreneticPlot
cardBtns,TossYean
Toggles,Fitting
cleopatraToggles,CurvatureFitting
ankh,Disk
ankhToggles,DiskFitting
honus,Peach
honusToggles,PeachFitting
jar,Tie
jarToggles,TieFitting
ring,Late
ringToggles,LateFitting
scepter,Georgia
scepterToggles,GeorgiaFitting
bug,Arc
bugToggles,ArcFitting
cleopatraObj,CurvatureBoy
ankhObj,DiskBoy
honusObj,PeachBoy
jarObj,TieBoy
ringObj,LateBoy
scepterObj,GeorgiaBoy
bugObj,ArcBoy
Fronts,Cowboy
cardFronts,TossCowboy
ankhAnim,DiskLady
honusAnim,PeachLady
jarAnim,TieLady
ringAnim,LateLady
scepterAnim,GeorgiaLady
bugAnim,ArcLady
Cards,Belie
matchCards,BunchBelie
toggles,Semitic
Indexs,Severe
usedCardIndexs,MeatOdorSevere
symbol,Bother
Create,Admire
Datas,Prove
symbolCreateDatas,BotherAdmireProve
symbolDatas,BotherProve
openCount,AtomKnife
Names,Hypha
cardNames,TossHypha
rewardNum,RanchoFix
step,Tiny
step1,step1
step2,Tiny2
step1Btn,Tiny1Hop
step2Btn,Tiny2Hop
boxes,Ruler
keys,Site
keysCountTxt,SiteKnifeSow
KeysBtn,DoomHop
add3KeysBtn,Lap3DoomHop
hammer,Burial
hammerPos,BurialHat
rewards,Primate
Parent,Kettle
rewardsParent,PrimateKettle
Major,Drama
rewardMajor,RanchoDrama
Minor,Ahead
rewardMinor,RanchoAhead
Mini,Inca
rewardMini,RanchoInca
Diamond,Violent
rewardDiamond,RanchoViolent
Skull,Stunt
rewardSkull,RanchoStunt
Cry,Can
rewardCry,RanchoCan
Scorpion,Nearness
rewardScorpion,RanchoNearness
openedBoxIndexs,BottleFeeSevere
box,Beg
boxIndex,BegVenue
back,Lull
backBtn,LullHop
content,Aridity
Stars,Compo
Sprite,Course
star1Sprite,Dram1Course
star2Sprite,Dram2Course
BGBtn,BGHop
Layer,Bylaw
scratchLayer,DioxideBylaw
lid,Jet
luckyNum,TemptFix
luckyNum1Txt,TemptFix1Sow
luckyNum2Txt,TemptFix2Sow
luckyNum1,TemptFix1
luckyNum2,TemptFix2
Diamonds,Gossamer
rewardDiamonds,RanchoGossamer
coating,Message
Scraped,Consort
coatingScraped,MessageConsort
rewardPos,RanchoHat
music,Vigor
musicBtn,VigorHop
sound,Spank
soundBtn,SpankHop
vibration,Ponderous
vibrationBtn,PonderousHop
directions,Interstate
directionsBtn,InterstateHop
on,ID
onSprite,onCourse
off,Two
offSprite,TwoCourse
First,Bless
claimFirstBtn,SteerBlessHop
claim50Percent,Steer50Eyebrow
epic,Chew
epicWin,ChewGun
mega,Moss
megaWin,MossGun
bigWin,AimGun
boom,Mean
winType,LawLeap
Audio,Night
Mgr,Bee
AudioMgr,NightBee
Component,Southward
AudioComponentQueue,NightSouthwardJules
MaxCount,RubKnife
AudioQueue,NightJules
m,m
Music,Annex
bgMusic,GoAnnex
m_bgMusic,m_GoAnnex
Play,Year
Source,Spinet
PlayAudioSourceList,PlayNightSpinetLane
Check,Night
Interval,Evaluate
CheckInterval,CheckEvaluate
Bg,Me
Switch,Enigma
BgMusicSwitch,MeAnnexEnigma
_BgMusicSwitch,_MeAnnexEnigma
Effect,Sahara
EffectMusicSwitch,SaharaAnnexEnigma
_EffectMusicSwitch,_SaharaAnnexEnigma
Volume,Breech
BgVolume,MeBreech
_BgVolume,_MeBreech
EffectVolume,SaharaBreech
_EffectVolume,_SaharaBreech
BGM,BGM
BGM_Name,BGM_Poet
fade,Grid
fadeOutSource,GridSitSpinet
m_fadeOutSource,m_GridSitSpinet
Fading,Waster
isFading,IfWaster
m_isFading,m_IfWaster
Setting,Testify
AudioSettingDict,NightTestifyRice
looping,Hexagon
Sources,Foreign
loopingSources,HexagonForeign
Round,Arrow
Digits,Anyone
RoundDigits,ArrowAnyone
frames,Oppose
framerate,Reradiate
ignore,Gallop
Scale,Glass
ignoreTimeScale,GallopSignGlass
loop,Belt
sprite,Adjoin
Renderer,Excavate
spriteRenderer,AdjoinExcavate
current,Seattle
Frame,Nomad
currentFrameIndex,SeattleNomadVenue
Framerate,Formulate
currentFramerate,SeattleFormulate
Target,Rarity
Target_Type,Rarity_Leap
Layout,Abroad
Layout_Type,Abroad_Leap
Run,Rat
Run_Time,Rat_Sign
Layout_Number,Abroad_Primal
adjust,Gallon
adjustID,GallonID
sv,At
Just,Sago
Init,Pane
ADJustInitType,ADSagoPaneLeap
sv_ADJustInitType,At_ADSagoPaneLeap
ADJustTime,ADSagoSign
sv_ADJustTime,At_ADSagoSign
Revenue,Eyebrow
adjustInitAdRevenue,GallonPaneSoRevenue
MAX,MAX
SDK,SDK
KEY,KEY
MAX_SDK_KEY,MAX_SDK_KEY
REWARD,REWARD
MAX_REWARD_ID,MAX_REWARD_ID
INTER,INTER
MAX_INTER_ID,MAX_INTER_ID
retry,Width
Attempt,Turbine
retryAttempt,WidthTurbine
Showing,Creeper
isShowingAd,IfCreeperSo
Network,Lobster
rewardNetworkName,RanchoLobsterPoet
Call,Deem
Back,Yale
Action,Gibbon
rewardCallBackAction,RanchoDeemYaleGibbon
Success,Afflict
rewardSuccess,RanchoAfflict
rewardIndex,RanchoVenue
interstitial,Infiltration
interstitialNetworkName,InfiltrationLobsterPoet
interstitialType,InfiltrationLeap
interstitialIndex,InfiltrationVenue
Playing,Highway
Callbacks,Amsterdam
adPlayingCallbacks,NoHighwayAmsterdam
application,Eradication
Pause,Needy
Timestamp,Drugstore
applicationPauseTimestamp,EradicationNeedyDrugstore
Custom,Paddle
RewardAdCustomData,RedbudSoPaddleSong
Interstitial,Unnoticeable
InterstitialAdCustomData,UnnoticeableSoPaddleSong
appid,Leave
dictionary,Lighthouse
Message,Catalog
dictionaryMessage,LighthouseCatalog
Bool,Hawk
valueBool,ReignHawk
valueBool2,ReignHawk2
Int,Arc
valueInt,ReignInt
valueInt2,ReignInt2
valueInt3,ReignInt3
Float,Touch
valueFloat,ReignTouch
valueFloat2,ReignTouch2
Double,Shield
valueDouble,ReignShield
valueDouble2,ReignShield2
String,Teacup
valueString,ReignTeacup
valueString2,ReignTeacup2
Game,Tray
Object,Search
valueGameObject,ReignTraySearch
valueGameObject2,ReignTraySearch2
valueGameObject3,ReignTraySearch3
valueGameObject4,ReignTraySearch4
valueTransform,ReignGeography
valueStringList,ReignTeacupLane
Vec,Wax
valueVec,ReignWax
valueVec2List,ReignWax2Lane
valueIntList,ReignArcLane
message,Clarify
messageCallBack,ClarifyDeemYale
vec,Gas
vec2_1,Gas2_1
vec2_2,Gas2_2
LoginUrl,EmptyEra
Config,Tenant
ConfigUrl,TenantEra
TimeUrl,SignEra
Adjust,Punish
AdjustUrl,PunishEra
Local,Cramp
Id,Dy
LocalUserId,CrampBushDy
sv_LocalUserId,At_CrampBushDy
Server,Sodium
LocalServerId,CrampSodiumDy
sv_LocalServerId,At_CrampSodiumDy
Is,If
New,Eat
Player,Plunge
IsNewPlayer,IsEatPlunge
sv_IsNewPlayer,At_IsEatPlunge
Daily,Avoid
Bouns,Boron
Get,All
DailyBounsGetCount,AvoidBoronAllKnife
sv_DailyBounsGetCount,At_AvoidBoronAllKnife
Date,Path
DailyBounsDate,AvoidBoronPath
sv_DailyBounsDate,At_AvoidBoronPath
NewUserStep,EatBushLime
sv_NewUserStep,At_EatBushLime
Gold,Rock
Coin,Jazz
GoldCoin,RockJazz
sv_GoldCoin,At_RockJazz
Cumulative,Proficient
CumulativeGoldCoin,ProficientRockJazz
sv_CumulativeGoldCoin,At_ProficientRockJazz
Token,Reply
sv_Token,At_Reply
CumulativeToken,ProficientReply
sv_CumulativeToken,At_ProficientReply
Amazon,Crunch
sv_Amazon,At_Crunch
CumulativeAmazon,ProficientCrunch
sv_CumulativeAmazon,At_ProficientCrunch
Total,Purge
TotalGameTime,TotalTraySign
sv_TotalGameTime,At_TotalTraySign
FirstGetToken,BlessAllReply
sv_FirstGetToken,At_BlessAllReply
Has,Sew
